Alaró,5811,252,338,342,323,319,262,309,407,511,552,495,438,324,274,192,190,122,161
Alcúdia,20717,884,1068,1081,1070,1208,1423,1560,1649,1902,1932,1628,1467,1174,834,730,513,284,310
Algaida,6075,261,318,356,293,267,237,314,409,573,600,507,407,360,338,298,246,132,159
Andratx,11735,517,548,652,584,604,641,798,940,1026,981,957,888,723,554,471,389,211,251
Artà,8062,340,416,416,437,434,475,492,529,645,686,648,563,482,384,367,299,197,252
Banyalbufar,566,21,18,24,20,19,25,29,29,44,69,36,54,36,37,29,37,14,25
Binissalem,9027,371,572,587,589,471,419,498,591,810,883,767,623,511,364,320,277,180,194
Búger,1111,48,44,61,58,35,48,59,68,101,105,95,81,78,48,66,45,30,41
Bunyola,7121,262,363,424,443,410,298,339,481,544,632,630,568,463,356,307,276,165,160
Calvià,52458,1988,2458,2792,2720,2718,3256,3593,3914,4467,4569,4248,3923,3455,2921,2324,1519,848,745
Campanet,2719,106,132,140,121,129,145,175,182,201,214,198,198,186,172,127,110,68,115
Campos,11618,588,657,677,578,518,579,724,905,1093,1046,896,703,601,512,506,437,280,318
Capdepera,12081,498,528,573,588,649,817,963,942,985,1041,1065,870,762,540,443,341,222,254
Consell,4230,190,243,299,245,227,171,213,312,373,428,370,284,223,183,161,133,69,106
Costitx,1446,52,73,91,71,52,60,89,105,125,116,122,120,91,78,70,44,38,49
Deià,674,22,25,25,17,38,49,46,47,62,48,42,58,60,51,36,16,16,16
Escorca,187,4,2,4,7,10,8,10,9,8,16,9,20,23,21,13,12,4,7
Esporles,5182,197,302,337,282,279,256,273,338,433,455,443,400,318,248,195,184,112,130
Estellencs,336,6,13,15,9,13,18,24,10,23,27,27,34,30,20,21,18,18,10
Felanitx,18357,885,1023,1016,1001,898,1073,1198,1234,1425,1397,1295,1260,1140,998,790,649,457,618
Fornalutx,710,29,27,27,40,39,31,49,39,39,47,67,60,57,46,38,34,18,23
Inca,34093,1729,1951,2070,1974,1835,1949,2414,2690,2939,3015,2496,2171,1740,1431,1300,1083,609,697
Lloret de Vistalegre,1514,67,105,76,64,64,68,96,105,133,138,124,134,86,70,59,56,29,40
Lloseta,6312,332,354,371,325,322,332,407,456,546,526,465,440,351,334,245,228,128,150
Llubí,2392,111,143,143,124,127,123,137,137,202,226,178,178,131,104,102,92,59,75
Llucmajor,38722,1547,1920,2287,2015,1848,2065,2482,2867,3536,3783,3285,2712,2273,1923,1604,1196,662,717
Manacor,45352,2327,2526,2701,2578,2513,2819,3227,3347,3687,3644,3489,3064,2491,1848,1572,1360,1022,1137
Mancor de la Vall,1596,81,101,100,84,69,71,86,118,161,167,123,99,85,57,68,48,34,44
Maria de la Salut,2273,88,108,145,93,106,118,130,142,174,175,178,192,136,129,89,90,76,104
Marratxí,38902,1649,2196,2437,2382,2198,1965,2107,2537,3321,3569,3309,2812,2376,1988,1548,1154,667,687
Montuïri,3119,115,159,178,149,164,152,168,193,266,241,258,229,206,148,140,105,99,149
Muro,7667,410,443,470,363,420,411,507,534,634,568,564,503,428,343,295,309,215,250
Palma,415940,16816,19055,21073,21637,23216,27213,29840,31838,35961,36139,31724,27839,23577,20031,17222,13956,8735,10068
Petra,3067,145,150,162,165,162,176,161,181,216,255,254,225,173,144,140,126,98,134
Pollença,17126,687,830,846,792,856,1005,1148,1106,1295,1343,1336,1351,1175,853,773,681,453,596
Porreres,5645,248,377,357,287,254,308,333,369,415,516,410,387,277,255,263,215,162,212
Pobla (Sa),14005,807,911,874,771,729,783,934,1027,1105,1056,1040,885,741,617,474,466,334,451
Puigpunyent,2075,71,126,150,119,116,91,89,102,182,205,212,151,140,89,78,66,35,53
Sencelles,3659,143,197,194,211,160,155,162,224,312,363,368,292,237,186,146,120,77,112
Sant Joan,2179,115,122,128,96,103,119,114,130,158,187,162,146,134,90,103,98,70,104
Sant Llorenç des Cardassar,9035,369,460,500,456,479,529,586,613,739,756,739,692,554,440,405,301,196,221
Santa Eugènia,1771,68,94,103,84,87,96,81,117,136,150,154,181,113,92,62,58,45,50
Santa Margalida,12776,527,652,682,623,626,821,902,937,1132,1134,1032,889,752,567,473,405,278,344
Santa Maria del Camí,7483,326,444,448,472,365,363,421,528,663,693,576,527,428,301,273,269,178,208
Santanyí,12321,478,518,581,594,637,742,829,863,960,1028,1006,985,800,636,541,449,296,378
Selva,4243,179,214,262,189,178,175,266,320,355,379,301,326,282,231,178,164,114,130
Salines (Ses),5039,192,255,243,225,219,259,278,357,409,459,451,437,331,266,232,183,124,119
Sineu,4232,193,219,259,225,218,195,258,284,405,369,352,294,205,205,171,142,101,137
Sóller,13454,542,596,638,700,692,733,775,884,1012,1159,1089,967,818,715,670,580,383,501
Son Servera,11752,521,581,624,590,624,771,857,893,1020,863,921,903,767,566,472,329,207,243
Valldemossa,2085,73,87,95,81,93,112,144,146,161,158,158,177,138,143,94,99,60,66
Vilafranca de Bonany,3600,212,189,231,173,186,206,258,286,298,269,251,246,194,148,136,111,81,125
Ariany,912,33,47,42,32,38,53,38,59,53,82,60,73,57,44,55,40,34,72
